restaurant_name,restaurant_url
The Table,https://www.zomato.com/mumbai/momo-cafe-courtyard-by-marriott-chakala
The Table,https://www.zomato.com/mumbai/spiceopedia-magic-of-indian-street-food-1-bandra-east
